wavelength_nm,n,k,T,R,d_nm
648.75,3.1416748049940613,0.10982289715846136,0.42580562896077967,0.5044859936910786,60
652.5,3.1333662723242566,0.10437300811095837,0.42776902552018364,0.5060513946270131,60
656.25,3.125157188473959,0.09913402250345575,0.4297517241304311,0.507437804865286,60
660.0,3.11704749841343,0.09409994042245566,0.43175451447949165,0.5086524960726205,60
663.75,3.1090371009420363,0.08926499483490105,0.43377784755590004,0.5097024743345412,60
667.5,3.1011258541903257,0.08462364164769225,0.4358218727212077,0.5105944817566194,60
671.25,3.093313580319247,0.08017055044555213,0.4378864711494188,0.5113350004244055,60
675.0,3.0856000693876178,0.0759005959622312,0.43997128594897394,0.5119302581125564,60
678.75,3.0779850823283588,0.07180885037280647,0.44207574925987847,0.5123862352137143,60
682.5,3.07046835293416,0.06789057654424566,0.4441991065897604,0.5127086724166952,60
686.25,3.063049588699802,0.0641412224573794,0.4463404386162656,0.5129030786994025,60
690.0,3.055728470295705,0.06055641713277437,0.44849868063541454,0.5129747392101682,60
693.75,3.0485046493483816,0.05713196858502667,0.45067263976756966,0.5129287225834072,60
697.5,3.041377744070726,0.05386386464739602,0.4528610099275719,0.5127698871563542,60
701.25,3.0343473321129983,0.050748278049002615,0.45506238438864965,0.5125028853958552,60
705.0,3.0274129398087073,0.04778157807649958,0.45727526544893254,0.5121321655605053,60
708.75,3.0205740268491224,0.04496035287940206,0.45949807008931554,0.5116619691322409,60
712.5,3.0138299656438923,0.04228144972915777,0.46172912924260684,0.5110963217218817,60
716.25,3.0071800162729536,0.03974204683951124,0.46396667555931614,0.5104390138222111,60
720.0,3.0006233045957953,0.03733978264094059,0.4662088084062313,0.5096935660110556,60
723.75,2.9941588349095247,0.03507299072082695,0.4684534108477106,0.5088631728387562,60
727.5,2.9877856483026903,0.03294111391531611,0.47069796473464365,0.5079506321040809,60
731.25,2.981503457152779,0.03094529545592585,0.4729391841490863,0.5069583409968358,60
735.0,2.97531429794062,0.029088530655701668,0.4751725571935237,0.5058886655813397,60
738.75,2.9692245059518254,0.02737371093014563,0.47739255988139095,0.5047449897218289,60
742.5,2.9632439050701294,0.025800046059877943,0.47959411657021805,0.5035325585940322,60
746.25,2.957382328569247,0.024361926293109192,0.4817738473267768,0.502257980411458,60
750.0,2.951647289659969,0.02305055854743136,0.48393007889903294,0.5009281936922273,60
753.75,2.946043575339987,0.021855813615251955,0.48606232959758056,0.49954982047652435,60
757.5,2.940573636731381,0.02076736065302099,0.4881708490932,0.49812891188344455,60
761.25,2.93523811095863,0.019775246611284387,0.49025631160814337,0.49667088854675634,60
765.0,2.930036279164105,0.018870164409596612,0.49231962426909004,0.4951805608574308,60
768.75,2.9249664295461844,0.018043557725422397,0.4943618083858073,0.4936621785726967,60
772.5,2.920026136106846,0.017287640882755702,0.4963839256992479,0.49211948871514694,60
776.25,2.9152124705438323,0.01659537513086804,0.49838703261926487,0.4905557930072383,60
780.0,2.9105221628683373,0.015960423443432577,0.500372152184639,0.4889740013292662,60
783.75,2.9059517230440686,0.015377095927675576,0.5023402574268891,0.4873766799846165,60
787.5,2.9014975329942656,0.014840292512054267,0.5042922621605603,0.4857660945782589,60
791.25,2.89715591601181,0.014345446567655946,0.5062290166412393,0.4841442477630912,60
795.0,2.892923188871252,0.01388847140383808,0.5081513064133324,0.4825129122906671,60
798.75,2.8887957006519343,0.013465710587477447,0.5100598532299312,0.48087365985822905,60
802.5,2.8847698613236203,0.013073892458680786,0.5119553172912342,0.4792278862395897,60
806.25,2.8808421624309295,0.012710088882441956,0.5138383002893294,0.4775768331559269,60
810.0,2.87700919167519,0.012371678087427196,0.5157093489096759,0.475921607300192,60
813.75,2.873267642785333,0.012056311342278877,0.5175689585506635,0.4742631968838929,60
817.5,2.8696143217588372,0.011761883172041493,0.5194175770992354,0.4726024860313082,60
821.25,2.866046150315231,0.011486504801491168,0.5212556086540836,0.47094026730573085,60
825.0,2.8625601672207623,0.01122848051528116,0.5230834171252036,0.46927725261581604,60
828.75,2.8591535279995424,0.010986286638809179,0.5249013296650439,0.4676140827175323,60
832.5,2.8558235034352597,0.010758552863494733,0.526709639904895,0.46595133549867745,60
836.25,2.85256747717997,0.010544045662581205,0.5285086109831972,0.4642895332078225,60
840.0,2.849382942718001,0.010341653566695398,0.5302984783614487,0.46262914876779593,60
843.75,2.8462674998788904,0.010150374091041501,0.532079452429603,0.46097061129490235,60
847.5,2.843218851050625,0.00996930212759882,0.5338517209070053,0.4593143109286906,60
851.25,2.840234797210615,0.009797619635674628,0.5356154510476625,0.4576606030629073,60
855.0,2.8373132338651894,0.009634586482479284,0.5373707916602373,0.45600981205604063,60
858.75,2.8344521469672332,0.009479532302006025,0.5391178749541197,0.4543622344893071,60
862.5,2.8316496088647165,0.00933184925546112,0.540856818223268,0.4527181420307611,60
866.25,2.8289037743197243,0.00919098558988766,0.5425877253795303,0.45107778395638515,60
870.0,2.8262128766270096,0.009056439903573419,0.5443106883468816,0.44944138937217765,60
873.75,2.8235752238528344,0.008927756037451617,0.5460257883276095,0.4478091691754023,60
877.5,2.820989195208492,0.00880451852111861,0.5477330969508849,0.446181317788124,60
881.25,2.818453237567514,0.008686348510425681,0.5494326773136374,0.44455801469170303,60
885.0,2.8159658621319306,0.008572900160965189,0.5511245849229367,0.4429394257872247,60
888.75,2.8135256412496488,0.008463857388273799,0.5528088685484864,0.44132570460350473,60
892.5,2.811131205382797,0.008358930971310513,0.5544855709931837,0.43971699337153025,60
896.25,2.8087812402249956,0.008257855960825174,0.5561547297890882,0.43811342398170255,60
900.0,2.806474483964299,0.008160389358690576,0.5578163778255485,0.43651511883816907,60
903.75,2.804209724687521,0.008066308038200598,0.5594705439156901,0.4349221916226861,60
